"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1990748","GO:1990748","cellular detoxification","8/99","125/18986",0.064,12.2737777777778,9.15553077633059,2.92235352537016e-07,0.000405840989219026,0.000359135466571399,"NQO1/LTC4S/ABCG2/BMP7/MGST1/HBA2/HBB/HBA1",8
"GO:0097237","GO:0097237","cellular response to toxic substance","8/99","135/18986",0.0592592592592593,11.3646090534979,8.74971728944012,5.27337948887567e-07,0.000405840989219026,0.000359135466571399,"NQO1/LTC4S/ABCG2/BMP7/MGST1/HBA2/HBB/HBA1",8
"GO:0048738","GO:0048738","cardiac muscle tissue development","10/99","252/18986",0.0396825396825397,7.61022927689594,7.64791308330621,7.85348534055033e-07,0.000405840989219026,0.000359135466571399,"PI16/BMP7/COL14A1/NPPA/HOPX/NPPB/TNNI1/RBP4/PPP1R13L/TNNT2",10
"GO:0098869","GO:0098869","cellular oxidant detoxification","7/99","99/18986",0.0707070707070707,13.5600448933782,9.0712828063139,8.5081968389733e-07,0.000405840989219026,0.000359135466571399,"NQO1/LTC4S/BMP7/MGST1/HBA2/HBB/HBA1",7
"GO:0030198","GO:0030198","extracellular matrix organization","11/99","339/18986",0.0324483775811209,6.22287774500164,7.02500490377106,1.55428366083397e-06,0.000447099214000984,0.000395645558456128,"LTBP4/LUM/COL14A1/COL5A1/RAMP2/AEBP1/FMOD/CCDC80/FAP/CCN1/COMP",11
"GO:0043062","GO:0043062","extracellular structure organization","11/99","340/18986",0.0323529411764706,6.20457516339869,7.01089255427034,1.59938823632752e-06,0.000447099214000984,0.000395645558456128,"LTBP4/LUM/COL14A1/COL5A1/RAMP2/AEBP1/FMOD/CCDC80/FAP/CCN1/COMP",11
"GO:0045229","GO:0045229","external encapsulating structure organization","11/99","341/18986",0.032258064516129,6.18637992831541,6.99683659350817,1.64564029495139e-06,0.000447099214000984,0.000395645558456128,"LTBP4/LUM/COL14A1/COL5A1/RAMP2/AEBP1/FMOD/CCDC80/FAP/CCN1/COMP",11
"GO:0030199","GO:0030199","collagen fibril organization","6/99","72/18986",0.0833333333333333,15.9814814814815,9.22084508121527,2.0408982884113e-06,0.000447099214000984,0.000395645558456128,"LUM/COL14A1/COL5A1/AEBP1/FMOD/COMP",6
"GO:0014706","GO:0014706","striated muscle tissue development","12/99","424/18986",0.0283018867924528,5.42767295597484,6.67555666642673,2.10895855660841e-06,0.000447099214000984,0.000395645558456128,"PI16/BMP7/COL14A1/NPPA/HOPX/NPPB/TNNI1/EGR1/EGR2/RBP4/PPP1R13L/TNNT2",12
"GO:0098754","GO:0098754","detoxification","8/99","167/18986",0.0479041916167665,9.18695941450432,7.69350091502771,2.6286410708989e-06,0.000483003315076418,0.000427417696889867,"NQO1/LTC4S/ABCG2/BMP7/MGST1/HBA2/HBB/HBA1",8
