"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","26/104","430/19960",0.0604651162790698,11.6046511627907,16.0886524429634,1.05473988292878e-20,1.79305780097892e-18,1.65427623743566e-18,"SERPINA3/LTBP4/APOA1/LUM/BMP7/CCN2/COL14A1/SSC5D/LEFTY2/OGN/COL5A1/MXRA5/FCN3/NPPA/AEBP1/ASPN/FMOD/THBS4/LTBP2/CCDC80/MARCO/CCN1/P3H2/HAPLN1/COMP/LAD1",26
"GO:0071682","GO:0071682","endocytic vesicle lumen","4/104","23/19960",0.173913043478261,33.3779264214047,11.244061750888,5.70638943938212e-06,0.00048504310234748,0.000447501066562072,"APOA1/HBA2/HBB/HBA1",4
"GO:0031838","GO:0031838","haptoglobin-hemoglobin complex","3/104","11/19960",0.272727272727273,52.3426573426573,12.32691203245,2.19955951557659e-05,0.00124169421571184,0.00114558785226665,"HBA2/HBB/HBA1",3
"GO:0005833","GO:0005833","hemoglobin complex","3/104","12/19960",0.25,47.9807692307692,11.7815177866442,2.92163344873373e-05,0.00124169421571184,0.00114558785226665,"HBA2/HBB/HBA1",3
"GO:0005581","GO:0005581","collagen trimer","5/104","86/19960",0.0581395348837209,11.1583184257603,6.83232602381537,8.68636799313061e-05,0.00290618033233628,0.00268124377410592,"LUM/COL14A1/COL5A1/FCN3/MARCO",5
"GO:0072562","GO:0072562","blood microparticle","6/104","144/19960",0.0416666666666667,7.99679487179487,6.09835311144528,0.00010784861364379,0.00290618033233628,0.00268124377410592,"SERPINA3/APOA1/HBA2/HBB/HBA1/FCN3",6
"GO:0005604","GO:0005604","basement membrane","5/104","92/19960",0.0543478260869565,10.430602006689,6.56139875184632,0.000119666248978553,0.00290618033233628,0.00268124377410592,"COL5A1/THBS4/CCDC80/P3H2/LAD1",5
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","7/104","314/19960",0.0222929936305732,4.27853993140617,4.23787759337055,0.00128849818825427,0.0265078912627495,0.0244561968925676,"APOA1/COL14A1/COL5A1/SPP1/PENK/CCN1/P3H2",7
"GO:0005614","GO:0005614","interstitial matrix","2/104","11/19960",0.181818181818182,34.8951048951049,8.13791100807476,0.00143421646697458,0.0265078912627495,0.0244561968925676,"COL14A1/CCDC80",2
"GO:0005583","GO:0005583","fibrillar collagen trimer","2/104","12/19960",0.166666666666667,31.9871794871795,7.77075412479711,0.00171521649347203,0.0265078912627495,0.0244561968925676,"LUM/COL5A1",2
"GO:0098643","GO:0098643","banded collagen fibril","2/104","12/19960",0.166666666666667,31.9871794871795,7.77075412479711,0.00171521649347203,0.0265078912627495,0.0244561968925676,"LUM/COL5A1",2
