"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005201","GO:0005201","extracellular matrix structural constituent","13/96","166/18737",0.0783132530120482,15.2849523092369,13.2664476004442,2.75454644846699e-12,8.40136666782433e-10,7.13282554024085e-10,"LTBP4/LUM/COL14A1/OGN/COL5A1/MXRA5/AEBP1/ASPN/FMOD/LTBP2/CCN1/HAPLN1/COMP",13
"GO:0005539","GO:0005539","glycosaminoglycan binding","11/96","246/18737",0.0447154471544715,8.72743055555556,8.75511625546538,5.27591800306593e-08,7.94123292241337e-06,6.7421684173035e-06,"LTBP4/BMP7/CCN2/COL5A1/THBS4/LTBP2/CCDC80/CCN1/HAPLN1/COMP/NRP1",11
"GO:0030021","GO:0030021","extracellular matrix structural constituent conferring compression resistance","5/96","22/18737",0.227272727272727,44.358428030303,14.6025736457937,7.81104877614429e-08,7.94123292241337e-06,6.7421684173035e-06,"LUM/OGN/ASPN/FMOD/HAPLN1",5
"GO:0008201","GO:0008201","heparin binding","9/96","176/18737",0.0511363636363636,9.98064630681818,8.59018848532281,2.98308065076872e-07,2.27459899621115e-05,1.9311522107608e-05,"BMP7/CCN2/COL5A1/THBS4/LTBP2/CCDC80/CCN1/COMP/NRP1",9
"GO:1901681","GO:1901681","sulfur compound binding","10/96","277/18737",0.036101083032491,7.04610409145608,7.27510236009388,1.56282212647572e-06,8.86468910639368e-05,7.52618988843087e-05,"GNMT/BMP7/CCN2/COL5A1/THBS4/LTBP2/CCDC80/CCN1/COMP/NRP1",10
"GO:0005178","GO:0005178","integrin binding","8/96","161/18737",0.0496894409937888,9.69824016563147,7.95440471254157,1.74387326683154e-06,8.86468910639368e-05,7.52618988843087e-05,"LTBP4/CCN2/COL5A1/THBS4/SPP1/FAP/CCN1/COMP",8
"GO:0016209","GO:0016209","antioxidant activity","6/96","86/18737",0.0697674418604651,13.6170058139535,8.41577120261497,5.22004774938083e-06,0.000227444937651593,0.000193102518247772,"NQO1/LTC4S/MGST1/HBA2/HBB/HBA1",6
"GO:0004601","GO:0004601","peroxidase activity","5/96","57/18737",0.087719298245614,17.1207967836257,8.74731864963506,1.07794881567163e-05,0.000410967985974809,0.000348915011388448,"LTC4S/MGST1/HBA2/HBB/HBA1",5
"GO:0016684","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","5/96","59/18737",0.0847457627118644,16.5404307909605,8.57952661857347,1.27849391940185e-05,0.000433267383797293,0.000367847373301584,"LTC4S/MGST1/HBA2/HBB/HBA1",5
"GO:0031720","GO:0031720","haptoglobin binding","3/96","10/18737",0.3,58.553125,13.0639423940073,1.52384413600682e-05,0.000464772461482081,0.000394595428902819,"HBA2/HBB/HBA1",3
"GO:0005344","GO:0005344","oxygen carrier activity","3/96","14/18737",0.214285714285714,41.8236607142857,10.965481265994,4.5539917827354e-05,0.00126269772157663,0.00107204017086403,"HBA2/HBB/HBA1",3
"GO:0019838","GO:0019838","growth factor binding","6/96","132/18737",0.0454545454545455,8.87168560606061,6.51297364359993,6.01752693607389e-05,0.00152945476291878,0.00129851897041594,"LTBP4/CCN2/COL5A1/LTBP2/CCN1/NRP1",6
"GO:0050840","GO:0050840","extracellular matrix binding","4/96","65/18737",0.0615384615384615,12.0108974358974,6.38150962238731,0.000344870689527567,0.00809119694660831,0.00686948903836288,"SSC5D/LTBP2/SPP1/CCN1",4
"GO:0005518","GO:0005518","collagen binding","4/96","69/18737",0.0579710144927536,11.31461352657,6.1598205687695,0.00043353331750268,0.00944483298845124,0.00801873654929769,"LUM/COL14A1/AEBP1/COMP",4
"GO:0019825","GO:0019825","oxygen binding","3/96","34/18737",0.0882352941176471,17.2215073529412,6.79382696590523,0.000695059832474052,0.0141328832603057,0.0119989276342889,"HBA2/HBB/HBA1",3
"GO:0001664","GO:0001664","G protein-coupled receptor binding","7/96","299/18737",0.0234113712374582,4.56936315496098,4.46487060536261,0.000871716663199877,0.0166170988922477,0.0141080459965243,"HBA2/WNT9A/HBA1/NPPA/PENK/MARCO/UCHL1",7
"GO:0019842","GO:0019842","vitamin binding","5/96","150/18737",0.0333333333333333,6.50590277777778,4.8585756655283,0.00104738474146332,0.0187913144791948,0.0159539719133112,"SDSL/GNMT/ETNPPL/P3H2/RBP4",5
"GO:0004089","GO:0004089","carbonate dehydratase activity","2/96","15/18737",0.133333333333333,26.0236111111111,6.95759176996757,0.00261176517659908,0.0442549099368177,0.0375727621896709,"CA14/CA3",2
