"mature_mirna_id","n_targets"
"hsa-miR-15a-5p",14
"hsa-miR-15b-5p",14
"hsa-miR-34a-5p",14
"hsa-miR-103a-3p",13
"hsa-let-7d-5p",12
"hsa-let-7e-5p",12
"hsa-miR-107",12
"hsa-miR-17-5p",12
"hsa-miR-195-5p",12
"hsa-miR-196a-5p",12
"hsa-miR-20b-5p",12
"hsa-miR-27a-3p",12
"hsa-miR-423-5p",12
"hsa-miR-424-5p",12
"hsa-let-7a-5p",11
"hsa-let-7b-5p",11
"hsa-let-7c-5p",11
"hsa-miR-106b-5p",11
"hsa-miR-16-5p",11
"hsa-miR-18a-5p",11
"hsa-let-7g-5p",10
"hsa-let-7i-5p",10
"hsa-miR-19b-3p",10
"hsa-miR-26a-5p",10
"hsa-miR-27b-3p",10
"hsa-miR-7-5p",10
"hsa-let-7f-5p",9
"hsa-miR-101-3p",9
"hsa-miR-106a-5p",9
"hsa-miR-139-5p",9
"hsa-miR-148b-3p",9
"hsa-miR-183-5p",9
"hsa-miR-19a-3p",9
"hsa-miR-20a-5p",9
"hsa-miR-210-3p",9
"hsa-miR-23a-3p",9
"hsa-miR-26b-5p",9
"hsa-miR-31-5p",9
"hsa-miR-423-3p",9
"hsa-miR-4677-3p",9
"hsa-miR-93-5p",9
"hsa-miR-98-5p",9
"hsa-miR-1285-3p",8
"hsa-miR-18b-5p",8
"hsa-miR-196b-5p",8
"hsa-miR-21-5p",8
"hsa-miR-29a-3p",8
"hsa-miR-29b-3p",8
"hsa-miR-29c-3p",8
"hsa-miR-484",8
"hsa-miR-625-5p",8
"hsa-miR-744-5p",8
"hsa-miR-92a-3p",8
"hsa-miR-128-1-5p",7
"hsa-miR-141-5p",7
"hsa-miR-148a-3p",7
"hsa-miR-15b-3p",7
"hsa-miR-182-5p",7
"hsa-miR-191-5p",7
"hsa-miR-221-3p",7
"hsa-miR-222-3p",7
"hsa-miR-30c-1-3p",7
"hsa-miR-320a-3p",7
"hsa-miR-320b",7
"hsa-miR-671-5p",7
"hsa-miR-876-3p",7
"hsa-miR-92b-3p",7
"hsa-miR-10a-5p",6
"hsa-miR-124-3p",6
"hsa-miR-125a-3p",6
"hsa-miR-1301-3p",6
"hsa-miR-130b-3p",6
"hsa-miR-138-5p",6
"hsa-miR-145-3p",6
"hsa-miR-181b-5p",6
"hsa-miR-185-5p",6
"hsa-miR-193b-3p",6
"hsa-miR-214-3p",6
"hsa-miR-22-3p",6
"hsa-miR-23b-3p",6
"hsa-miR-25-3p",6
"hsa-miR-25-5p",6
"hsa-miR-27a-5p",6
"hsa-miR-324-3p",6
"hsa-miR-330-5p",6
"hsa-miR-378a-3p",6
"hsa-miR-4446-3p",6
"hsa-miR-486-3p",6
"hsa-miR-500a-3p",6
"hsa-miR-503-5p",6
"hsa-miR-589-5p",6
"hsa-miR-652-3p",6
"hsa-miR-9-5p",6
"hsa-miR-1-3p",5
"hsa-miR-103b",5
"hsa-miR-128-3p",5
"hsa-miR-135b-3p",5
"hsa-miR-142-5p",5
"hsa-miR-146a-5p",5
"hsa-miR-147a",5
"hsa-miR-151a-5p",5
"hsa-miR-181a-5p",5
"hsa-miR-194-5p",5
"hsa-miR-24-3p",5
"hsa-miR-28-5p",5
"hsa-miR-301a-3p",5
"hsa-miR-30a-5p",5
"hsa-miR-30e-3p",5
"hsa-miR-378c",5
"hsa-miR-532-5p",5
"hsa-miR-708-5p",5
"hsa-miR-877-5p",5
"hsa-miR-942-5p",5
"hsa-miR-96-5p",5
"hsa-miR-100-5p",4
"hsa-miR-1180-3p",4
"hsa-miR-125b-1-3p",4
"hsa-miR-1273h-5p",4
"hsa-miR-130a-3p",4
"hsa-miR-130b-5p",4
"hsa-miR-140-3p",4
"hsa-miR-147b-3p",4
"hsa-miR-148b-5p",4
"hsa-miR-149-5p",4
"hsa-miR-151a-3p",4
"hsa-miR-151b",4
"hsa-miR-181a-2-3p",4
"hsa-miR-181d-5p",4
"hsa-miR-183-3p",4
"hsa-miR-186-5p",4
"hsa-miR-18a-3p",4
"hsa-miR-193a-3p",4
"hsa-miR-197-3p",4
"hsa-miR-200a-5p",4
"hsa-miR-203a-3p",4
"hsa-miR-203b-5p",4
"hsa-miR-205-5p",4
"hsa-miR-2110",4
"hsa-miR-218-5p",4
"hsa-miR-221-5p",4
"hsa-miR-2278",4
"hsa-miR-301b-3p",4
"hsa-miR-30c-2-3p",4
"hsa-miR-3184-5p",4
"hsa-miR-3200-3p",4
"hsa-miR-320c",4
"hsa-miR-324-5p",4
"hsa-miR-331-3p",4
"hsa-miR-331-5p",4
"hsa-miR-335-3p",4
"hsa-miR-335-5p",4
"hsa-miR-338-3p",4
"hsa-miR-339-5p",4
"hsa-miR-33b-5p",4
"hsa-miR-340-3p",4
"hsa-miR-340-5p",4
"hsa-miR-361-5p",4
"hsa-miR-3913-5p",4
"hsa-miR-421",4
"hsa-miR-449c-5p",4
"hsa-miR-4524a-3p",4
"hsa-miR-454-3p",4
"hsa-miR-486-5p",4
"hsa-miR-5001-5p",4
"hsa-miR-512-3p",4
"hsa-miR-766-5p",4
"hsa-let-7f-2-3p",3
"hsa-miR-100-3p",3
"hsa-miR-10b-5p",3
"hsa-miR-125b-5p",3
"hsa-miR-1266-5p",3
"hsa-miR-1275",3
"hsa-miR-1296-5p",3
"hsa-miR-1304-3p",3
"hsa-miR-135b-5p",3
"hsa-miR-143-3p",3
"hsa-miR-149-3p",3
"hsa-miR-155-5p",3
"hsa-miR-17-3p",3
"hsa-miR-181c-5p",3
"hsa-miR-182-3p",3
"hsa-miR-1910-5p",3
"hsa-miR-19b-1-5p",3
"hsa-miR-200b-3p",3
"hsa-miR-200c-3p",3
"hsa-miR-21-3p",3
"hsa-miR-219a-1-3p",3
"hsa-miR-302a-3p",3
"hsa-miR-302d-3p",3
"hsa-miR-302e",3
"hsa-miR-3074-5p",3
"hsa-miR-30b-3p",3
"hsa-miR-3127-5p",3
"hsa-miR-33a-5p",3
"hsa-miR-342-3p",3
"hsa-miR-342-5p",3
"hsa-miR-345-5p",3
"hsa-miR-361-3p",3
"hsa-miR-374a-3p",3
"hsa-miR-374a-5p",3
"hsa-miR-376a-5p",3
"hsa-miR-382-5p",3
"hsa-miR-425-5p",3
"hsa-miR-4271",3
"hsa-miR-429",3
"hsa-miR-4306",3
"hsa-miR-4492",3
"hsa-miR-4498",3
"hsa-miR-449a",3
"hsa-miR-4656",3
"hsa-miR-4725-3p",3
"hsa-miR-4728-5p",3
"hsa-miR-4745-5p",3
"hsa-miR-497-5p",3
"hsa-miR-501-3p",3
"hsa-miR-520g-3p",3
"hsa-miR-561-5p",3
"hsa-miR-576-3p",3
"hsa-miR-584-5p",3
"hsa-miR-6731-5p",3
"hsa-miR-6780b-5p",3
"hsa-miR-6785-5p",3
"hsa-miR-6788-5p",3
