"database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","support_type","pubmed_id","type"
"mirecords","MIMAT0000422","hsa-miR-124-3p","TMEM109","79073","ENSG00000110108","","","15685193","validated"
"mirtarbase","MIMAT0000069","hsa-miR-16-5p","TMEM109","79073","ENSG00000110108","pSILAC//Proteomics;Other","Functional MTI (Weak)","18668040","validated"
"mirtarbase","MIMAT0000069","hsa-miR-16-5p","TMEM109","79073","ENSG00000110108","HITS-CLIP","Functional MTI (Weak)","22473208","validated"
"mirtarbase","MIMAT0000422","hsa-miR-124-3p","TMEM109","79073","ENSG00000110108","Microarray","Functional MTI (Weak)","15685193","validated"
"mirtarbase","MIMAT0000422","hsa-miR-124-3p","TMEM109","79073","ENSG00000110108","Microarray","Functional MTI (Weak)","18668037","validated"
"mirtarbase","MIMAT0000691","hsa-miR-130b-3p","TMEM109","79073","ENSG00000110108","Sequencing","Functional MTI (Weak)","20371350","validated"
"mirtarbase","MIMAT0000255","hsa-miR-34a-5p","TMEM109","79073","ENSG00000110108","Proteomics","Functional MTI (Weak)","21566225","validated"
"mirtarbase","MIMAT0004694","hsa-miR-342-5p","TMEM109","79073","ENSG00000110108","CLASH","Functional MTI (Weak)","23622248","validated"
"mirtarbase","MIMAT0003339","hsa-miR-421","TMEM109","79073","ENSG00000110108","CLASH","Functional MTI (Weak)","23622248","validated"
"mirtarbase","MIMAT0002891","hsa-miR-18a-3p","TMEM109","79073","ENSG00000110108","CLASH","Functional MTI (Weak)","23622248","validated"
"mirtarbase","MIMAT0000455","hsa-miR-185-5p","TMEM109","79073","ENSG00000110108","PAR-CLIP","Functional MTI (Weak)","20371350","validated"
"mirtarbase","MIMAT0002832","hsa-miR-519c-3p","TMEM109","79073","ENSG00000110108","PAR-CLIP","Functional MTI (Weak)","20371350","validated"
"mirtarbase","MIMAT0002837","hsa-miR-519b-3p","TMEM109","79073","ENSG00000110108","PAR-CLIP","Functional MTI (Weak)","20371350","validated"
"mirtarbase","MIMAT0002869","hsa-miR-519a-3p","TMEM109","79073","ENSG00000110108","PAR-CLIP","Functional MTI (Weak)","20371350","validated"
"mirtarbase","MIMAT0015040","hsa-miR-3166","TMEM109","79073","ENSG00000110108","PAR-CLIP","Functional MTI (Weak)","20371350","validated"
"mirtarbase","MIMAT0016858","hsa-miR-4306","TMEM109","79073","ENSG00000110108","PAR-CLIP","Functional MTI (Weak)","20371350","validated"
"mirtarbase","MIMAT0019704","hsa-miR-4644","TMEM109","79073","ENSG00000110108","PAR-CLIP","Functional MTI (Weak)","20371350","validated"
"mirtarbase","MIMAT0030416","hsa-miR-1273h-3p","TMEM109","79073","ENSG00000110108","PAR-CLIP","Functional MTI (Weak)","20371350","validated"
"mirtarbase","MIMAT0000068","hsa-miR-15a-5p","TMEM109","79073","ENSG00000110108","HITS-CLIP","Functional MTI (Weak)","22473208","validated"
"mirtarbase","MIMAT0000417","hsa-miR-15b-5p","TMEM109","79073","ENSG00000110108","HITS-CLIP","Functional MTI (Weak)","22473208","validated"
"mirtarbase","MIMAT0000461","hsa-miR-195-5p","TMEM109","79073","ENSG00000110108","HITS-CLIP","Functional MTI (Weak)","22473208","validated"
"mirtarbase","MIMAT0000089","hsa-miR-31-5p","TMEM109","79073","ENSG00000110108","PAR-CLIP","Functional MTI (Weak)","23592263","validated"
