"","logFC","AveExpr","t","P.Value","adj.P.Val","B","symbol"
"ENSG00000169964",0.485639110758375,11.3089785280843,9.86158019811788,2.70753717706807e-20,4.09202400557467e-19,35.1588683185623,"TMEM42"
"ENSG00000149476",0.49389073442721,10.9405569569955,7.77310100442801,9.64023956532811e-14,7.62305245080226e-13,20.2743281978839,"TKFC"
"ENSG00000155256",0.239494169921624,12.0817212265682,7.20075423275961,4.01699660784775e-12,2.66274980885755e-11,16.6100770244034,"ZFYVE27"
"ENSG00000146063",0.221639398188944,12.7571714320783,6.53455824361329,2.39408112196132e-10,1.29865308784856e-09,12.6062002478291,"TRIM41"
"ENSG00000213398",0.406101565431796,11.822369221134,5.52033839981928,6.82001211003446e-08,2.71507033828786e-07,7.10083224721006,"LCAT"
"ENSG00000257704",0.735872649725164,9.75266814221657,4.85582769002824,1.84768333827017e-06,6.0610430075126e-06,3.91347283973695,"INAFM1"
"ENSG00000105568",0.289239821871113,15.9601500214952,4.80767283702028,2.31626541102757e-06,7.4835683312444e-06,3.69613608134103,"PPP2R1A"
"ENSG00000239779",0.374353640745639,10.2779262896142,4.42566021010366,1.30489868796355e-05,3.78624680739607e-05,2.03942122515242,"WBP1"
"ENSG00000126461",0.347843169169879,11.6276407695221,3.21608534908854,0.00142707052315592,0.002917744248495,-2.38225310581573,"SCAF1"
"ENSG00000233426",0.307175720281944,8.67675208933035,3.12518475250763,0.00193331485348561,0.00386309768945042,-2.66194130676114,"EIF3FP3"
"ENSG00000130479",0.28743011546485,9.53271223470336,2.20283438482954,0.0282914258822309,0.0443582406261234,-5.06576782625949,"MAP1S"
